"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"1",117482029,1257832249493463040,"2020/05/06 00:39:12","cajunmusicmp3","@kenoath58 @bex0760 @smh I made the worst fuck ups of my life in my 30s. Spent my 40s grieving so many of my loved ones dying. Got wiser in my 50s. 64 now with hypertension, so this covid-19 response scares the hell out of me.","Twitter Web App",201,1257821387911118848,869693800494514176,"kenoath58",FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"869693800494514176, 846445608361603072, 16675569","kenoath58, bex0760, smh","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/cajunmusicmp3/status/1257832249493463047","Neal Pomea cajunmusicmp3","Colesville, Maryland","Fostering enjoyment, appreciation, and understanding of the history of French Cajun music! I also Tweet on politics from a liberal POV.🍑 Impeach again ASAP!!","http://t.co/5vAKzehb7S",FALSE,566,549,7,22135,39387,"2010/02/25 18:05:30",FALSE,"http://t.co/5vAKzehb7S","http://npmusic.org",NA,NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1828134679/austin_pitre_porch__3__normal.jpg"
"2",3363005841,1257832238693130240,"2020/05/06 00:39:09","Mat1740","""Covid Toes"" could be a new coronavirus symptom  https://t.co/WqRhObhW70","Twitter for iPad",72,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,"twitter.com/i/events/12575…","https://t.co/WqRhObhW70","https://twitter.com/i/events/1257579977840578561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/Mat1740/status/1257832238693130240","Matthew Harms","Lexington Park, MD","Matt|21|Single|He/Him|Straight|Gamer|Movie/Cartoon Buff| Huge Disney, Marvel, and Pixar fan|Favorite Shows: Gravity Falls & Phineas & Ferb|",NA,FALSE,61,368,0,3693,26903,"2015/07/06 20:49:54",FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/3363005841/1544318165","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1245568752869089280/2_2ka1VE_normal.jpg"
"3",60211825,1257832226441629696,"2020/05/06 00:39:06","The_Phantom_DJ","Ocean City to reopen beach, boardwalk on Saturday https://t.co/ELH4ocKKMY","IFTTT",73,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,"ift.tt/2ymUlQ0","https://t.co/ELH4ocKKMY","https://ift.tt/2ymUlQ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/The_Phantom_DJ/status/1257832226441629696","Dennis Ferguson","Glen Burnie, MD","Business manager - Angela Ferguson Photography (https://t.co/tJzzZHrPvy)
IT manager -  SSA
President - Baltimore Concert Opera (https://t.co/6l1DPD4RKk)","http://t.co/oX0QxcXu78",FALSE,545,707,18,11638,50,"2009/07/26 02:36:55",FALSE,"http://t.co/oX0QxcXu78","http://about.me/DennisFerguson",NA,"https://pbs.twimg.com/profile_banners/60211825/1503238993","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1037511550226051073/kkYmSUaH_normal.jpg"
"4",24920395,1257827165636366336,"2020/05/06 00:19:00","wjz","If you're looking to spice up your next Zoom meeting, you're in luck. https://t.co/fXRYD2l1vq","SocialNewsDesk",93,NA,NA,NA,FALSE,FALSE,6,4,NA,NA,NA,NA,"baltimore.cbslocal.com/2020/05/05/cor…","https://t.co/fXRYD2l1vq","https://baltimore.cbslocal.com/2020/05/05/coronavirus-zoom-background-mccormick-old-bay/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/wjz/status/1257827165636366337","WJZ | CBS Baltimore","Baltimore","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps.","https://t.co/UfAKCVc9iI",FALSE,253954,554,1811,360869,1340,"2009/03/17 17:48:44",TRUE,"https://t.co/UfAKCVc9iI","http://wjz.com",NA,"https://pbs.twimg.com/profile_banners/24920395/1584747449","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1216723610662002688/EbKExNkc_normal.jpg"
"5",24920395,1257814839738748928,"2020/05/05 23:30:01","wjz","M&amp;T Bank will contribute $200,000 to the Maryland Food Bank and Capital Area Food Bank to help them buy and distribute food to those impacted by the coronavirus outbreak and related economic crisis throughout Maryland and the Greater Washington area. https://t.co/sgiFhWLvzB","SocialNewsDesk",278,NA,NA,NA,FALSE,FALSE,5,2,NA,NA,NA,NA,"baltimore.cbslocal.com/2020/05/05/mt-…","https://t.co/sgiFhWLvzB","https://baltimore.cbslocal.com/2020/05/05/mt-bank-will-donate-200k-to-maryland-food-bank-capital-area-food-bank-to-help-during-coronavirus-pandemic/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/wjz/status/1257814839738748928","WJZ | CBS Baltimore","Baltimore","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps.","https://t.co/UfAKCVc9iI",FALSE,253954,554,1811,360869,1340,"2009/03/17 17:48:44",TRUE,"https://t.co/UfAKCVc9iI","http://wjz.com",NA,"https://pbs.twimg.com/profile_banners/24920395/1584747449","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1216723610662002688/EbKExNkc_normal.jpg"
"6",24920395,1257822408611975168,"2020/05/06 00:00:06","wjz","On Giving Tuesday, the Produce Alliance Foundation is paying it forward by delivering fresh produce boxes to those on the front lines of the coronavirus pandemic. https://t.co/0rvVUtdfIa","SocialNewsDesk",186,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,"baltimore.cbslocal.com/2020/05/05/cor…","https://t.co/0rvVUtdfIa","https://baltimore.cbslocal.com/2020/05/05/coronavirus-produce-box-project-baltimore/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/wjz/status/1257822408611975169","WJZ | CBS Baltimore","Baltimore","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps.","https://t.co/UfAKCVc9iI",FALSE,253954,554,1811,360869,1340,"2009/03/17 17:48:44",TRUE,"https://t.co/UfAKCVc9iI","http://wjz.com",NA,"https://pbs.twimg.com/profile_banners/24920395/1584747449","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1216723610662002688/EbKExNkc_normal.jpg"
"7",24920395,1257812318005743616,"2020/05/05 23:20:00","wjz","Some of the most popular restaurants in the United States are having to get creative to get by in the era of social distancing. https://t.co/w3a0M6DiDW","SocialNewsDesk",151,NA,NA,NA,FALSE,FALSE,3,0,NA,NA,NA,NA,"baltimore.cbslocal.com/2020/05/05/res…","https://t.co/w3a0M6DiDW","https://baltimore.cbslocal.com/2020/05/05/restaurants-adapt-social-distancing-coronavirus-pandemic-grinds-on/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/wjz/status/1257812318005743616","WJZ | CBS Baltimore","Baltimore","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps.","https://t.co/UfAKCVc9iI",FALSE,253954,554,1811,360869,1340,"2009/03/17 17:48:44",TRUE,"https://t.co/UfAKCVc9iI","http://wjz.com",NA,"https://pbs.twimg.com/profile_banners/24920395/1584747449","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1216723610662002688/EbKExNkc_normal.jpg"
"8",24920395,1257832198864089088,"2020/05/06 00:39:00","wjz","Orioles outfielder Trey Mancini isn't letting the coronavirus or cancer stop him from working out. https://t.co/yNCThEh7PV","SocialNewsDesk",122,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,"baltimore.cbslocal.com/2020/05/05/man…","https://t.co/yNCThEh7PV","https://baltimore.cbslocal.com/2020/05/05/mancini-gets-back-to-working-out-amid-cancer-battle/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/wjz/status/1257832198864089096","WJZ | CBS Baltimore","Baltimore","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps.","https://t.co/UfAKCVc9iI",FALSE,253954,554,1811,360869,1340,"2009/03/17 17:48:44",TRUE,"https://t.co/UfAKCVc9iI","http://wjz.com",NA,"https://pbs.twimg.com/profile_banners/24920395/1584747449","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1216723610662002688/EbKExNkc_normal.jpg"
"9",44135849,1257831861830721536,"2020/05/06 00:37:39","2Sanguine","Pharmaceutical giant Pfizer begins testing coronavirus vaccine in people at Maryland https://t.co/c0vrxkEucW","Twitter Web Client",108,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,"washingtonpost.com/health/2020/05…","https://t.co/c0vrxkEucW","https://www.washingtonpost.com/health/2020/05/05/pharmaceutical-giant-pfizer-begins-testing-coronavirus-vaccine-people/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/2Sanguine/status/1257831861830721537","Meagan D","Maryland, USA","Bit of a virologist, bombarded by slightly greasy solar atoms.",NA,FALSE,55,124,0,511,1001,"2009/06/02 15:14:05",FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/44135849/1572361153","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1189200074443776000/GgcRWyfM_normal.jpg"
"10",2190581461,1257831839781326848,"2020/05/06 00:37:34","DrDaleNeedham","@vonny_bravo Here is info, from @atscommunity , about post-intensive care syndrome (PICS) in case it may help you

Pls re-tweet
@ArdsGlobal @ATSCritCare 

1.  Patient info sheet: https://t.co/WKgeAPhJPW

2. 40-min podcast by @DrDaleNeedham (aimed at clinicians)

https://t.co/Ztno0J7kQE","Twitter for iPhone",273,1257618427461730304,1130662165,"vonny_bravo",FALSE,FALSE,0,0,NA,NA,NA,NA,"atsjournals.org/doi/pdf/10.116…, thoracic.org/about/ats-podc…","https://t.co/WKgeAPhJPW, https://t.co/Ztno0J7kQE","https://www.atsjournals.org/doi/pdf/10.1164/rccm.2018P15, https://www.thoracic.org/about/ats-podcasts/critical-perspective-management-of-post-intensive-care-syndrome-in-the-era-of-covid-19.php",NA,NA,NA,NA,NA,NA,NA,NA,"1130662165, 50076632, 2584702706, 3760008875, 2190581461","vonny_bravo, atscommunity, ArdsGlobal, ATSCritCare, DrDaleNeedham","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/DrDaleNeedham/status/1257831839781326849","Dale Needham, MD, PhD","Baltimore, MD","#ICURehab - Johns Hopkins University - Pulmonary & Critical Care Medicine, and Physical Medicine & Rehabilitation. Tweets represent my personal views.","https://t.co/sQiZfN8P9r",FALSE,8867,672,174,47828,24622,"2013/11/12 15:45:40",FALSE,"https://t.co/sQiZfN8P9r","http://www.hopkinsmedicine.org/OACIS",NA,"https://pbs.twimg.com/profile_banners/2190581461/1504829652","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/905840269010100224/YHOxj7vh_normal.jpg"
